_id,firstname,surname,city,country,license_plate,drivernumber
1,Jonah,Gabler,Chicago, United States,UN-CH 1,Jonah_Gabler_1
2,Florentine,Hayn,Naha, Japan,JA-NA 2,Florentine_Hayn_2
3,Lennox,Allgeier,Tokyo, Japan,JA-TO 3,Lennox_Allgeier_3
4,Selim,Brake,Providence, United States,UN-PR 4,Selim_Brake_4
5,Manuel,Jabs,Mexico City, Mexico,ME-ME 5,Manuel_Jabs_5
6,Sena,Hanusch,Mexico City, Mexico,ME-ME 6,Sena_Hanusch_6
7,Lilia,Zedler,Dallas, United States,UN-DA 7,Lilia_Zedler_7
8,Amelia,Degner,Los Angeles, United States,UN-LO 8,Amelia_Degner_8
9,Asya,Patt,Badalona, Spain,SP-BA 9,Asya_Patt_9
10,Miro,Spies,Monterrey, Mexico,ME-MO 10,Miro_Spies_10
11,Peter,Ringel,Chicago, United States,UN-CH 11,Peter_Ringel_11
12,Magdalena,Saul,Nancy, France,FR-NA 12,Magdalena_Saul_12
13,Mert,Scholten,Nagano, Japan,JA-NA 13,Mert_Scholten_13
14,Janne,Brutscher,Baltimore, United States,UN-BA 14,Janne_Brutscher_14
15,Adam,Fritzsch,Linz, Austria,AU-LI 15,Adam_Fritzsch_15
16,Omar,Mosler,Rouen, France,FR-RO 16,Omar_Mosler_16
17,Rocco,Köchling,Nezahualcóyotl, Mexico,ME-NE 17,Rocco_Köchling_17
18,Milena,Goldenstein,Zwolle, Netherlands,NE-ZW 18,Milena_Goldenstein_18
19,Lynn,Mattheis,Yokohama, Japan,JA-YO 19,Lynn_Mattheis_19
20,Bennet,Lauermann,Tokyo, Japan,JA-TO 20,Bennet_Lauermann_20
21,Olivia,Schmelter,Detroit, United States,UN-DE 21,Olivia_Schmelter_21
22,Sena,Jungen,Carrollton, United States,UN-CA 22,Sena_Jungen_22
23,Victor,Müller,Ōsaka, Japan,JA-ŌS 23,Victor_Müller_23
24,Mia,Böing,Adelaide, Australia,AU-AD 24,Mia_Böing_24
25,Amin,Siefert,Ocala, United States,UN-OC 25,Amin_Siefert_25
26,Lena,Beinlich,Mérida, Mexico,ME-MÉ 26,Lena_Beinlich_26
27,Niklas,Bröhl,Bologna, Italy,IT-BO 27,Niklas_Bröhl_27
28,Sena,Grossmann,Naha, Japan,JA-NA 28,Sena_Grossmann_28
29,Mustafa,Dittmann,Nagoya, Japan,JA-NA 29,Mustafa_Dittmann_29
30,Raphael,Kolb,Boston, United States,UN-BO 30,Raphael_Kolb_30
31,Andreas,Balthasar,Augusta, United States,UN-AU 31,Andreas_Balthasar_31
32,Linus,Schöller,West Palm Beach, United States,UN-WE 32,Linus_Schöller_32
33,Leonardo,Wächter,Burnaby, Canada,CA-BU 33,Leonardo_Wächter_33
34,Liam,Masur,Mexico City, Mexico,ME-ME 34,Liam_Masur_34
35,Jamal,Bozkurt,Seto, Japan,JA-SE 35,Jamal_Bozkurt_35
36,Victor,Kühnlein,Tokyo, Japan,JA-TO 36,Victor_Kühnlein_36
37,Johannes,Schroer,Kamirenjaku, Japan,JA-KA 37,Johannes_Schroer_37
38,Finn,Sauerbrey,Oxnard, United States,UN-OX 38,Finn_Sauerbrey_38
39,Julie,Weide,Ōsaka, Japan,JA-ŌS 39,Julie_Weide_39
40,Mathilde,Fuß,Mexico City, Mexico,ME-ME 40,Mathilde_Fuß_40
41,Lennard,Haut,Washington, United States,UN-WA 41,Lennard_Haut_41
42,Pelin,Kriese,Toronto, Canada,CA-TO 42,Pelin_Kriese_42
43,Ana,Altmann,Tokyo, Japan,JA-TO 43,Ana_Altmann_43
44,Mila,Derksen,Chicago, United States,UN-CH 44,Mila_Derksen_44
45,Leah,Roßkopf,Bakersfield, United States,UN-BA 45,Leah_Roßkopf_45
46,Heinrich,Mendler,Glendale, United States,UN-GL 46,Heinrich_Mendler_46
47,Xenia,Hopf,Chicago, United States,UN-CH 47,Xenia_Hopf_47
48,Lisa,Trummer,Washington, United States,UN-WA 48,Lisa_Trummer_48
49,Smilla,Wilmes,Vacaville, United States,UN-VA 49,Smilla_Wilmes_49
50,Aişe,Düvel,Mexico City, Mexico,ME-ME 50,Aişe_Düvel_50
51,Noel,Herda,Zielona Góra, Poland,PO-ZI 51,Noel_Herda_51
52,Ina,Grabow,Vancouver, Canada,CA-VA 52,Ina_Grabow_52
53,Matilda,Niewerth,Mexico City, Mexico,ME-ME 53,Matilda_Niewerth_53
54,Marlon,Kretzer,Hakodate, Japan,JA-HA 54,Marlon_Kretzer_54
55,Jonas,Farkas,Oakland, United States,UN-OA 55,Jonas_Farkas_55
56,Ahmet,Weißbach,Yato, Japan,JA-YA 56,Ahmet_Weißbach_56
57,Milian,Pitz,Guadalajara, Mexico,ME-GU 57,Milian_Pitz_57
